time,seq,class,rtt,hops
1238,1235,2,-1,-1
1238,22,1,0,3
1239,14,1,0,3
1240,154,1,0,3
1241,166,1,0,3
1242,163,1,0,3
1243,54,1,0,3
1244,32,1,0,3
1245,9,1,0,3
1246,56,1,0,3
1247,52,1,0,3
1248,22,1,0,3
1249,52,1,0,3
1250,57,1,0,3
1251,1250,2,11.2004,3
1252,27,1,0,3
1253,33,1,0,3
1254,41,1,0,3
1255,37,1,0,3
1256,85,1,0,3
1257,102,1,0,3
1258,1257,2,22.4006,3
1259,17,1,0,3
1260,3,1,0,3
1261,37,1,0,3
1262,176,1,0,3
1263,17,1,0,3
1264,25,1,0,3
1265,93,1,0,3
1266,128,1,0,3
1267,54,1,0,3
1268,94,1,0,3
1269,5,1,0,3
1270,639,2,0,3
1271,54,1,0,3
1272,62,1,0,3
1273,22,1,0,3
1274,9,1,0,3
1275,51,1,0,3
1276,5,1,0,3
1277,100,1,0,3
1278,435,1,0,3
1279,32,1,0,3
1280,93,1,0,3
1281,573,2,0,3
1282,97,1,0,3
1283,128,1,0,3
1284,10,1,0,3
1285,1284,2,26.0486,3
1286,53,1,0,3
1287,19,1,0,3
1288,5,1,0,3
1289,41,1,0,3
1290,41,1,0,3
1291,94,1,0,3
1292,93,1,0,3
1293,85,1,0,3
1294,9,1,0,3
1295,1294,18,19.8407,3
